Year,Town,AGIClss,Return,Exempt,MarJnt,Single,MarSep,HdHous,AGI,FedTI,VTI,NetVTax
2005,Essex Junction,150000 +,170,548.0,158.0,11.0,0.0,1.0,48690409.0,41173848.0,37300718.0,2599215.0673
2005,Essex Town,Loss or None,50,53.0,13.0,36.0,1.0,0.0,-1956937.0,0.0,0.0,0.0
2005,Essex Town,0.01 - 4999,343,118.0,12.0,323.0,0.0,8.0,897984.0,64243.0,41864.0,1486.0
2005,Essex Town,5000 - 9999,228,139.0,20.0,199.0,2.0,7.0,1653879.0,306436.0,285556.0,9973.4836
2005,Essex Town,10000 - 14999,178,227.0,22.0,144.0,0.0,12.0,2197785.0,637657.0,601809.0,20915.1001
2005,Essex Town,15000 - 19999,186,272.0,39.0,130.0,2.0,15.0,3256999.0,1157758.0,1138943.0,40479.8583
2005,Essex Town,20000 - 24999,179,294.0,41.0,108.0,2.0,28.0,4036702.0,1769566.0,1741117.0,61295.7997
2005,Essex Town,25000 - 29999,171,285.0,42.0,101.0,2.0,26.0,4701646.0,2409608.0,2397465.0,86019.0721
2005,Essex Town,30000 - 34999,165,286.0,53.0,94.0,2.0,16.0,5377699.0,2975643.0,2920619.0,105170.9014
2005,Essex Town,35000 - 39999,187,339.0,56.0,94.0,6.0,31.0,7046203.0,4116351.0,4121773.0,146671.20470000006
2005,Essex Town,40000 - 44999,146,275.0,56.0,70.0,2.0,18.0,6191654.0,3813878.0,3769545.0,140653.0
2005,Essex Town,45000 - 49999,167,353.0,81.0,65.0,2.0,19.0,7917807.0,4883212.0,4853572.0,183978.4541
2005,Essex Town,50000 - 59999,331,794.0,199.0,93.0,3.0,36.0,18190956.0,11404642.0,11241857.0,437787.77680000005
2005,Essex Town,60000 - 74999,427,1094.0,317.0,87.0,3.0,20.0,28803840.0,19402758.0,19164961.0,760357.7923
2005,Essex Town,75000 - 99999,595,1778.0,515.0,55.0,2.0,23.0,51350649.0,35685169.0,35228475.0,1527720.1457
2005,Essex Town,100000 - 149999,574,1876.0,533.0,29.0,1.0,11.0,69553685.0,51398067.0,50758683.0,2604831.643299999
2005,Essex Town,150000 +,349,1149.0,328.0,13.0,1.0,7.0,89466765.0,74637581.0,71940749.0,4818198.8551
2005,Jericho ID,Loss or None,9,14.0,4.0,4.0,0.0,1.0,-434623.0,0.0,0.0,0.0
2005,Jericho ID,0.01 - 4999,24,14.0,3.0,21.0,0.0,0.0,57444.0,1020.0,1020.0,38.0
2005,Jericho ID,5000 - 9999,21,9.0,2.0,19.0,0.0,0.0,148857.0,28278.0,28019.0,816.0889999999997
2005,Jericho ID,10000 - 14999,16,24.0,3.0,10.0,0.0,3.0,198841.0,48631.0,46819.0,1657.0
2005,Jericho ID,15000 - 19999,11,17.0,2.0,7.0,1.0,1.0,193447.0,66627.0,63715.0,1830.6898
2005,Jericho ID,20000 - 24999,5,7.0,0.0,4.0,0.0,1.0,111537.0,56170.0,56170.0,2039.0
